Name,Start,Duration,Delay,Tasks,Cost,Result
Sim0,0,1500,0,1,0,Some([Simulation Aborted])
Sim1,15,1485,0,1,0,Some([Simulation Aborted])
Sim10,150,1350,0,2,0,Some([Simulation Aborted])
Sim11,165,1335,0,1,0,Some([Simulation Aborted])
Sim12,180,1320,0,2,0,Some([Simulation Aborted])
Sim13,195,1305,0,1,0,Some([Simulation Aborted])
Sim14,210,1290,0,4,0,Some([Simulation Aborted])
Sim15,225,1275,5,2,0,Some([Simulation Aborted])
Sim16,240,1260,0,3,0,Some([Simulation Aborted])
Sim17,255,1245,0,2,0,Some([Simulation Aborted])
Sim18,270,1230,0,1,0,Some([Simulation Aborted])
Sim19,285,1215,0,1,0,Some([Simulation Aborted])
Sim2,30,1470,0,1,0,Some([Simulation Aborted])
Sim20,300,1200,0,1,0,Some([Simulation Aborted])
Sim21,315,1185,0,1,0,Some([Simulation Aborted])
Sim22,330,1170,0,1,0,Some([Simulation Aborted])
Sim23,345,1155,0,1,0,Some([Simulation Aborted])
Sim24,360,1140,0,3,0,Some([Simulation Aborted])
Sim25,375,1125,0,2,0,Some([Simulation Aborted])
Sim26,390,1110,0,1,0,Some([Simulation Aborted])
Sim27,405,1095,0,1,0,Some([Simulation Aborted])
Sim28,420,1080,0,1,0,Some([Simulation Aborted])
Sim29,435,1065,0,1,0,Some([Simulation Aborted])
Sim3,45,1455,0,2,0,Some([Simulation Aborted])
Sim30,450,1050,5,5,0,Some([Simulation Aborted])
Sim31,465,1035,5,1,0,Some([Simulation Aborted])
Sim32,480,1020,0,3,0,Some([Simulation Aborted])
Sim33,495,1005,0,1,0,Some([Simulation Aborted])
Sim34,510,990,0,2,0,Some([Simulation Aborted])
Sim35,525,975,0,1,0,Some([Simulation Aborted])
Sim36,540,960,0,1,0,Some([Simulation Aborted])
Sim37,555,945,0,1,0,Some([Simulation Aborted])
Sim38,570,930,0,1,0,Some([Simulation Aborted])
Sim39,585,915,0,2,0,Some([Simulation Aborted])
Sim4,60,1440,0,2,0,Some([Simulation Aborted])
Sim40,600,900,0,1,0,Some([Simulation Aborted])
Sim41,615,885,0,3,0,Some([Simulation Aborted])
Sim42,630,870,0,1,0,Some([Simulation Aborted])
