Name,Busy,Idle,Tasks,Cost
r1,14,22,2,0.0
r2,35,1,6,0.0
r3,16,20,4,0.0
r1,34,6,4,0.0
r2,16,24,2,0.0
r3,30,10,4,0.0
r1,31,11,5,0.0
r2,21,21,3,0.0
r3,29,13,4,0.0
r1,34,0,5,0.0
r2,9,25,1,0.0
r3,22,12,3,0.0
r1,23,11,5,0.0
r2,28,6,6,0.0
r3,28,6,6,0.0
r1,20,0,5,0.0
r2,4,16,1,0.0
r3,8,12,2,0.0
r1,32,13,5,0.0
r2,25,20,4,0.0
r3,39,6,7,0.0
r1,22,1,3,0.0
r2,15,8,3,0.0
r3,15,8,4,0.0
r1,33,27,4,0.0
r2,44,16,5,0.0
r3,48,12,6,0.0
r1,44,3,9,0.0
r2,27,20,6,0.0
r3,31,16,5,0.0
r1,19,0,5,0.0
r2,12,7,4,0.0
r3,15,4,3,0.0
r1,36,0,5,0.0
r2,31,5,4,0.0
r3,31,5,4,0.0
r1,42,0,6,0.0
r2,20,22,3,0.0
r3,29,13,4,0.0
r1,42,7,7,0.0
r2,48,1,7,0.0
r3,41,8,7,0.0
r1,16,2,5,0.0
r2,11,7,5,0.0
r3,10,8,4,0.0
r1,42,0,7,0.0
r2,27,15,4,0.0
r3,35,7,6,0.0
r1,22,20,5,0.0
r2,42,0,6,0.0
r3,29,13,5,0.0
r1,24,13,5,0.0
r2,29,8,7,0.0
r3,34,3,6,0.0
r1,40,0,6,0.0
r2,17,23,2,0.0
r3,12,28,2,0.0
r1,28,2,4,0.0
r2,30,0,5,0.0
r3,27,3,4,0.0
r1,19,9,4,0.0
r2,26,2,4,0.0
r3,8,20,2,0.0
r1,47,8,7,0.0
r2,45,10,7,0.0
r3,28,27,5,0.0
r1,10,25,3,0.0
r2,33,2,7,0.0
r3,31,4,6,0.0
r1,29,5,4,0.0
r2,34,0,5,0.0
r3,29,5,4,0.0
r1,9,23,2,0.0
r2,30,2,4,0.0
r3,14,18,3,0.0
r1,3,15,1,0.0
r2,15,3,3,0.0
r3,16,2,4,0.0
r1,13,7,5,0.0
r2,18,2,5,0.0
r3,12,8,3,0.0
r1,39,17,6,0.0
r2,30,26,5,0.0
r3,54,2,8,0.0
r1,13,6,3,0.0
r2,12,7,3,0.0
r3,15,4,3,0.0
r1,18,6,3,0.0
r2,13,11,3,0.0
r3,15,9,3,0.0
r1,46,0,7,0.0
r2,32,14,5,0.0
r3,22,24,4,0.0
r1,39,0,7,0.0
r2,24,15,6,0.0
r3,21,18,5,0.0
r1,22,6,3,0.0
r2,28,0,4,0.0
r3,20,8,3,0.0
r1,48,0,7,0.0
r2,37,11,6,0.0
r3,28,20,5,0.0
r1,26,11,6,0.0
r2,29,8,8,0.0
r3,26,11,6,0.0
r1,18,9,5,0.0
r2,13,14,4,0.0
r3,18,9,5,0.0
r1,17,23,6,0.0
r2,36,4,9,0.0
r3,35,5,8,0.0
r1,14,22,3,0.0
r2,35,1,5,0.0
r3,18,18,4,0.0
r1,17,16,4,0.0
r2,21,12,5,0.0
r3,33,0,8,0.0
r1,39,18,6,0.0
r2,57,0,9,0.0
r3,39,18,5,0.0
r1,61,4,8,0.0
r2,35,30,6,0.0
r3,35,30,5,0.0
r1,26,4,4,0.0
r2,21,9,4,0.0
r3,29,1,4,0.0
r1,26,12,6,0.0
r2,20,18,3,0.0
r3,18,20,4,0.0
r1,27,1,6,0.0
r2,22,6,5,0.0
r3,16,12,4,0.0
r1,43,12,6,0.0
r2,39,16,7,0.0
r3,47,8,6,0.0
r1,27,0,5,0.0
r2,24,3,4,0.0
r3,24,3,4,0.0
r1,29,18,3,0.0
r2,28,19,4,0.0
r3,38,9,5,0.0
r1,30,32,4,0.0
r2,62,0,9,0.0
r3,46,16,6,0.0
r1,35,5,5,0.0
r2,24,16,3,0.0
r3,30,10,4,0.0
r1,32,13,5,0.0
r2,37,8,6,0.0
r3,45,0,7,0.0
r1,26,7,5,0.0
r2,22,11,5,0.0
r3,33,0,6,0.0
r1,32,6,5,0.0
r2,25,13,4,0.0
r3,24,14,5,0.0
r1,38,5,6,0.0
r2,28,15,5,0.0
r3,43,0,6,0.0
r1,26,14,4,0.0
r2,15,25,3,0.0
r3,30,10,5,0.0
r1,38,10,7,0.0
r2,39,9,5,0.0
r3,39,9,7,0.0
r1,38,1,5,0.0
r2,24,15,4,0.0
r3,26,13,4,0.0
r1,23,16,3,0.0
r2,21,18,4,0.0
r3,35,4,6,0.0
r1,23,7,4,0.0
r2,23,7,4,0.0
r3,20,10,4,0.0
r1,32,14,6,0.0
r2,34,12,6,0.0
r3,46,0,9,0.0
r1,29,0,7,0.0
r2,26,3,6,0.0
r3,23,6,6,0.0
r1,31,3,5,0.0
r2,25,9,5,0.0
r3,22,12,6,0.0
r1,22,12,3,0.0
r2,12,22,2,0.0
r3,29,5,5,0.0
r1,6,6,4,0.0
r2,4,8,3,0.0
r3,8,4,3,0.0
r1,40,0,6,0.0
r2,21,19,3,0.0
r3,40,0,6,0.0
r1,18,4,5,0.0
r2,21,1,6,0.0
r3,19,3,6,0.0
r1,31,12,6,0.0
r2,34,9,5,0.0
r3,26,17,5,0.0
r1,19,4,5,0.0
r2,13,10,5,0.0
r3,16,7,4,0.0
r1,41,16,7,0.0
r2,36,21,6,0.0
r3,57,0,9,0.0
r1,40,1,8,0.0
r2,17,24,4,0.0
r3,30,11,6,0.0
r1,14,12,3,0.0
r2,19,7,4,0.0
r3,26,0,6,0.0
r1,34,13,7,0.0
