Name,Start,Duration,Delay,Tasks,Cost,Result
sim1,0,36,6,7,0.0,Some(object scala.Unit)
sim2,0,40,22,5,0.0,Some(object scala.Unit)
sim3,0,42,15,8,0.0,Some(object scala.Unit)
sim4,0,34,9,5,0.0,Some(object scala.Unit)
sim5,0,34,48,9,0.0,Some(object scala.Unit)
sim6,0,20,21,5,0.0,Some(object scala.Unit)
sim7,0,45,43,9,0.0,Some(object scala.Unit)
sim8,0,23,17,5,0.0,Some(object scala.Unit)
sim9,0,60,33,9,0.0,Some(object scala.Unit)
sim10,0,47,37,10,0.0,Some(object scala.Unit)
sim11,0,19,17,7,0.0,Some(object scala.Unit)
sim12,0,36,30,6,0.0,Some(object scala.Unit)
sim13,0,42,10,6,0.0,Some(object scala.Unit)
sim14,0,49,159,10,0.0,Some(object scala.Unit)
sim15,0,18,9,6,0.0,Some(object scala.Unit)
sim16,0,42,83,9,0.0,Some(object scala.Unit)
sim17,0,42,84,9,0.0,Some(object scala.Unit)
sim18,0,37,33,9,0.0,Some(object scala.Unit)
sim19,0,40,23,6,0.0,Some(object scala.Unit)
sim20,0,30,30,5,0.0,Some(object scala.Unit)
sim21,0,28,6,6,0.0,Some(object scala.Unit)
sim22,0,55,45,9,0.0,Some(object scala.Unit)
sim23,0,35,64,8,0.0,Some(object scala.Unit)
sim24,0,34,33,5,0.0,Some(object scala.Unit)
sim25,0,32,22,6,0.0,Some(object scala.Unit)
sim26,0,18,7,5,0.0,Some(object scala.Unit)
sim27,0,20,2,6,0.0,Some(object scala.Unit)
sim28,0,56,28,9,0.0,Some(object scala.Unit)
sim29,0,19,12,5,0.0,Some(object scala.Unit)
sim30,0,24,8,5,0.0,Some(object scala.Unit)
sim31,0,46,103,8,0.0,Some(object scala.Unit)
sim32,0,39,21,9,0.0,Some(object scala.Unit)
sim33,0,28,28,5,0.0,Some(object scala.Unit)
sim34,0,48,88,9,0.0,Some(object scala.Unit)
sim35,0,37,11,10,0.0,Some(object scala.Unit)
sim36,0,27,13,8,0.0,Some(object scala.Unit)
sim37,0,40,30,10,0.0,Some(object scala.Unit)
sim38,0,36,6,8,0.0,Some(object scala.Unit)
sim39,0,33,52,8,0.0,Some(object scala.Unit)
sim40,0,57,31,10,0.0,Some(object scala.Unit)
sim41,0,65,74,10,0.0,Some(object scala.Unit)
